Entity,Code,Year,nitrogen_efficiency
United States,USA,1961,71.8972503
United States,USA,1962,67.0145793
United States,USA,1963,65.9496493
United States,USA,1964,61.2488633
United States,USA,1965,61.9749807
United States,USA,1966,56.2887837
United States,USA,1967,55.5911503
United States,USA,1968,56.2567363
United States,USA,1969,54.2776695
United States,USA,1970,49.101892
United States,USA,1971,55.8371082
United States,USA,1972,54.7515606
United States,USA,1973,53.8469522
United States,USA,1974,49.6036552
United States,USA,1975,50.631915
United States,USA,1976,50.1091986
United States,USA,1977,56.3048655
United States,USA,1978,54.5120498
United States,USA,1979,57.340596
United States,USA,1980,50.264093
United States,USA,1981,60.4003772
United States,USA,1982,66.5453931
United States,USA,1983,45.6331576
United States,USA,1984,56.6568597
United States,USA,1985,65.29064
United States,USA,1986,61.84779
United States,USA,1987,59.6861334
United States,USA,1988,50.8092663
United States,USA,1989,57.0831469
United States,USA,1990,59.729875
United States,USA,1991,57.1926829
United States,USA,1992,63.0081674
United States,USA,1993,52.0499753
United States,USA,1994,63.373013
United States,USA,1995,54.3364416
United States,USA,1996,59.6052723
United States,USA,1997,60.5729355
United States,USA,1998,60.7305501
United States,USA,1999,60.0522242
United States,USA,2000,62.7619256
United States,USA,2001,61.0767034
United States,USA,2002,58.1434391
United States,USA,2003,59.6702546
United States,USA,2004,65.0476791
United States,USA,2005,64.2444447
United States,USA,2006,60.3611755
United States,USA,2007,63.4909705
United States,USA,2008,63.2505201
United States,USA,2009,66.7225894
United States,USA,2010,65.1009814
United States,USA,2011,60.6654745
United States,USA,2012,56.8169792
United States,USA,2013,62.8545717
United States,USA,2014,71.6114487
